DEPTH,RHOB,DT,GR,AI,AI_REL,PHIE,MD,VP
74.7,,522.7347,5.9675,3829859.0,-2640.3372,,74.7,15925112.635499999
74.85,,522.7272,6.1767,3829913.5,-2659.8267,,74.85,15924884.148000002
75.0,,522.7198,6.1784,3829967.5,-2746.2749,,75.0,15924658.706999999
75.15,,522.7125,6.1784,3830021.75,-2753.9404,,75.15,15924436.3125
75.3,,522.705,6.0803,3830076.25,-2753.9404,,75.3,15924207.825000001
75.45,,522.6976,5.4382,3830131.0,-2753.9404,,75.45,15923982.384
75.6,,522.6901,5.373,3830185.25,-2753.9404,,75.6,15923753.8965
75.75,,522.6828,5.1093,3830239.0,-2753.9404,,75.75,15923531.502000002
75.9,,522.6757,5.131,3830291.5,-2753.9404,,75.9,15923315.2005
76.05,,522.6682,5.4168,3830345.75,-2753.9404,,76.05,15923086.713
76.2,,522.6608,5.646,3830400.5,-2753.9404,,76.2,15922861.272
76.35,,522.6533,5.8992,3830455.25,-2753.9404,,76.35,15922632.7845
76.5,,522.6459,5.8974,3830509.0,-2753.9404,,76.5,15922407.3435
76.65,,522.6384,5.6354,3830564.25,-2753.9404,,76.65,15922178.856
76.8,,522.6309,5.8974,3830619.5,-2753.9404,,76.8,15921950.3685
76.95,,522.6238,5.8992,3830671.0,-2753.9404,,76.95,15921734.066999998
77.1,,522.6165,6.6296,3830725.25,-2753.9404,,77.1,15921511.6725
77.25,,522.609,6.8775,3830780.0,-2753.9404,,77.25,15921283.185
77.4,,522.6016,6.9093,3830834.75,-2753.9404,,77.4,15921057.743999999
77.55,,522.5942,6.9108,3830889.0,-2753.9404,,77.55,15920832.303
77.7,,522.5867,6.6867,3830943.25,-2753.9404,,77.7,15920603.815499999
77.85,,522.5796,6.4773,3830995.5,-2753.9404,,77.85,15920387.514
78.0,,522.5719,6.4524,3831052.0,-2753.9404,,78.0,15920152.933500001
78.15,,522.5648,6.4524,3831104.5,-2753.9404,,78.15,15919936.632
78.3,,522.5574,6.595,3831158.75,-2753.9404,,78.3,15919711.191000002
78.45,,522.5499,6.7183,3831213.25,-2753.9404,,78.45,15919482.703499999
78.6,,522.5425,6.7401,3831267.75,-2753.9404,,78.6,15919257.262500001
78.75,,522.535,6.7401,3831322.0,-2421.3845,,78.75,15919028.774999999
78.9,,522.5277,6.5536,3831376.0,-1885.7162,,78.9,15918806.3805
79.05,,522.5205,6.4968,3831428.75,-1750.1229,,79.05,15918587.032499999
79.2,,522.5131,6.4968,3831482.75,-1750.1229,,79.2,15918361.591500001
79.35,,522.5057,7.4548,3831537.75,-1750.1229,,79.35,15918136.150500001
79.5,,522.4983,7.8273,3831591.75,-1750.1229,,79.5,15917910.7095
79.65,,522.4909,7.8273,3831645.75,-1750.1229,,79.65,15917685.2685
79.8,,522.4835,7.6009,3831700.5,-1750.1229,,79.8,15917459.8275
79.95,,522.476,7.4911,3831755.25,-1750.1229,,79.95,15917231.34
80.1,,522.4688,7.4911,3831808.0,-1750.1229,,80.1,15917011.991999999
80.25,,522.4615,7.8449,3831861.5,-1750.1229,,80.25,15916789.5975
80.4,,522.4541,8.7894,3831916.0,-1750.1229,,80.4,15916564.1565
80.55,,522.4466,9.7029,3831970.75,-1750.1229,,80.55,15916335.669
80.7,,522.4392,10.0293,3832024.75,-1750.1229,,80.7,15916110.228
80.85,,522.4318,10.4348,3832079.25,-1750.1229,,80.85,15915884.786999999
81.0,,522.4244,10.7379,3832134.0,-1750.1229,,81.0,15915659.345999999
81.15,,522.4172,10.7379,3832186.75,-1750.1229,,81.15,15915439.998
81.3,,522.4099,10.7379,3832240.25,-1750.1229,,81.3,15915217.6035
81.45,,522.4025,10.7375,3832294.75,-1750.1229,,81.45,15914992.162500001
81.6,,522.395,10.737,3832349.75,-1750.1229,,81.6,15914763.674999999
81.75,,522.3875,11.0384,3832404.25,-1750.1229,,81.75,15914535.187500002
81.9,,522.3802,11.4248,3832458.0,-1750.1229,,81.9,15914312.792999998
82.05,,522.3727,11.4361,3832513.0,-1750.1229,,82.05,15914084.3055
82.2,,522.3654,11.3829,3832566.25,-1750.1229,,82.2,15913861.911
82.35,,522.3582,11.3343,3832619.25,-1750.1229,,82.35,15913642.563000001
82.5,,522.3507,10.9681,3832674.0,-1750.1229,,82.5,15913414.075499998
82.65,,522.3434,10.2607,3832728.0,-1186.0038,,82.65,15913191.681
82.8,,522.3359,9.7991,3832782.5,-155.6539,,82.8,15912963.193500001
82.95,,522.3285,9.7199,3832837.25,-53.248,,82.95,15912737.7525
83.1,,522.321,9.7591,3832892.0,-53.248,,83.1,15912509.265
83.25,,522.3136,9.8423,3832946.5,-53.248,,83.25,15912283.824
83.4,,522.3063,10.067,3832999.75,-53.248,,83.4,15912061.429499999
83.55,,522.2991,10.6392,3833052.75,-53.248,,83.55,15911842.0815
83.7,,522.2917,10.6742,3833107.25,-53.248,,83.7,15911616.6405
83.85,,522.2842,10.6776,3833162.0,-53.248,,83.85,15911388.153
